hindi,english
लापरवाही,casualness
चमत्कार,tour de force
[यन्त्र]खोलना,trip
निर्लज्ज,unabashe
अदम्य,unabashe
undefined,compelling
undefined,quite the thing
{अनौपचारिक}असंख्य,zillion
{अनौपचारिक}झपकी,forty winks
{अनौपचारिक}तेज़,zing
ऊर्जा,zing
{अनौपचारिक}लड़की,gal
{गठरी}खोल,unpack
{गणित}अंश,factor
{प्रश्नवाचक}क्या,could
{रेखागणित}सर्वागसम,congruent
ंअंडली,group
ंउख,mouth
अँकोड़ा,anchor
अँखिया,glance
अँखुआ,sprout
अँखौड़ा,winker
अँखौड़ा,blinder
अँखौड़ा,blinker
अँगड़ाई,stretch
अँगना,compound
अँगना,courtyard
अँगरखा,warm coat
अँगरखा,tunic
अँगरेज,british
अँगरेजियत,attitude
अँगरेजी,english
अँगिया,brassiere
अँगिया,bodice
अँगीकार,recognition
अँगीठा,fireplace
अँगीठा,grate
अँगीठा,stove
अँगीठी,brazier
अँगीठी,warming pan
अँगुठी,ring
अँगुरिया,finger
अँगुली,finger
अँगूठना,to lick thumb
अँगूठा,thumb
अँगूठी,ring
अँगोछा,towel
अँग्रेज,englishman
अँगड़ाई,yawning
अँगड़ाई,stretch the limbs
अँचवाना,to warm up
अँठली,adenoid
अँडिया,distaff
अँडुआ,uncastrated
अँतड़ी,intestine
अँधियारा,darkness
अँधेरा,murk
अँधेरा,darkness
अँधेरा,murky
अँधेरा,shade
अँधेरा,blackout
अँधेरी,murky
अँबराई,mango garden
अँश,passage
अँशुमाली,sun
अं,intercommunication
अं,intercommunicate
अंक,numeral
अंक,mark
अंक,figure
अंक,number
अंक,act
अंक,volume
अंक,numerical figure
अंक,digit
अंक,score
अंक,point
अंक,basket
अंक,figures
अंक,character
अंक,number
संख्या,number
अंकक,accountant
अंककरण,stamping
अंककार,statistician
अंकगणित,arithmetic
अंकगणित,arithmatic
अंकगणितीय,arithmetic
अंकगणितीय,arithmetical
अंकगत,in the lap
अंकटा,pebble
अंकटाड,unctad
अंकडी,catch
अंकडी,tendril
अंकतालिका,mark sheet
अंकन,scripting
अंकन,writing
अंकन,numbering
अंकन,marking
अंकन,endorsement
अंकन,description
अंकनी,pen
अंकनी,pencil
अंकनीय,to be marked
अंकपट्ट,dial
अंकपट्र,score sheet
अंकपट्र,score card
अंकपत्र,stamp paper
अंकपत्रित,stamped
अंकमाला,necklace
अंकमुख,introductory act of a play.
अंकरी,piece of stone
अंकवाई,estimating
अंकवाना,to cause to estimate
अंकवार,lap
अंकशास्त्र,statistics
अंकसूची,scoresheet
अंकारा,ankara
अंकित,imprint
अंकित,endorsed
अंकित,mentioned
अंकित,pointed
अंकित,inscribed
अंकिता,born with auspicious birthmarks
अंकीकृत,digitised
अंकीकृत,digitalized
अंकीकृत,digitalised
अंकीकृत,digitized
अंकीय,digital
अंकुर,seedling
अंकुर,seed lobe
अंकुर,shoot
अंकुर,germ
अंकुर,offshoot
अंकुर,sprout
अंकुर,sucker
अंकुर,blade
अंकुरकार्बुद,papillary tumor
अंकुरकार्बुद,papillary tumour
अंकुरकार्बुद,papilloma
अंकुरकार्बुद,villoma
अंकुरण,sprouting
अंकुरण,germination
अंकुरित,germinated
अंकुरित,sprouted
अंकुश,tenter
अंकुश,gad
अंकुश,hook
अंकुश,control
अंकुश,goad
अंकुश,uncinate
अंकुश,crook
अंकुशकृमि,hookworm
अंकुशाकार,hooked
अंकुशित,controlled
अंकुशित,urged
अंकुश्,prod
अंकेक्षक,auditor
अंकेक्षण,audit
अंकेक्षण,auditing
अंकेक्षित,audited
अंग,part
अंग,organ
अंग,limb
अंग,member
अंग,constituent
अंग,unit
अंगघात,paralysis
अंगघात,palsy
अंगघाती,paralytic
अंगघाती,paralytical
अंगचारी,close friend
अंगच्छेद,piercing
अंगच्छेदन,dismemberment
अंगज,son
अंगत्राण,armour to protect the body
अंगद,armlet
अंगदान,organ donations
अंगदोर्बल्य,cachexia
अंगधारी,living being
अंगनागण,bevy
अंगपोछा,towel
अंगप्रदर्शक,revealing
अंगभंग,crippling
